"dem_share","yes_share","place","recent_lpw"
0.316137566137566,0.445196211096076,"Alaska",TRUE
0.335714285714286,0.420289855072464,"Alaska",TRUE
0.381165919282511,0.52093023255814,"Alaska",TRUE
0.359550561797753,0.463976945244957,"Alaska",TRUE
0.44017094017094,0.490990990990991,"Alaska",TRUE
0.338187702265372,0.414473684210526,"Alaska",TRUE
0.4,0.482456140350877,"Alaska",TRUE
0.369127516778524,0.459016393442623,"Alaska",TRUE
0.312138728323699,0.476470588235294,"Alaska",TRUE
0.170391061452514,0.362035225048924,"Alaska",TRUE
0.322064056939502,0.399280575539568,"Alaska",TRUE
0.278630460448642,0.440677966101695,"Alaska",TRUE
0.242622950819672,0.48951048951049,"Alaska",TRUE
0.159111111111111,0.317561419472247,"Alaska",TRUE
0.123927550047664,0.296007789678676,"Alaska",TRUE
0.132122213047069,0.298407376362112,"Alaska",TRUE
0.174067495559503,0.344202898550725,"Alaska",TRUE
0.111753371868979,0.28698224852071,"Alaska",TRUE
0.525773195876289,0.608247422680412,"Alaska",TRUE
0.396373056994819,0.479166666666667,"Alaska",TRUE
0.475161987041037,0.563169164882227,"Alaska",TRUE
0.531197301854975,0.597938144329897,"Alaska",TRUE
0.202127659574468,0.32564330079858,"Alaska",TRUE
0.227350427350427,0.368965517241379,"Alaska",TRUE
0.47972972972973,0.56551724137931,"Alaska",TRUE
0.196428571428571,0.342342342342342,"Alaska",TRUE
0.320567375886525,0.433019551049964,"Alaska",TRUE
0.367941712204007,0.487226277372263,"Alaska",TRUE
0.201492537313433,0.31496062992126,"Alaska",TRUE
0.28695652173913,0.383620689655172,"Alaska",TRUE
0.13953488372093,0.285714285714286,"Alaska",TRUE
0.418181818181818,0.495384615384615,"Alaska",TRUE
0.511111111111111,0.619047619047619,"Alaska",TRUE
0.344988344988345,0.427890345649583,"Alaska",TRUE
0.119402985074627,0.359375,"Alaska",TRUE
0.964912280701754,0.716981132075472,"Alaska",TRUE
0.756756756756757,0.763157894736842,"Alaska",TRUE
0.293577981651376,0.386792452830189,"Alaska",TRUE
0.166666666666667,0.422222222222222,"Alaska",TRUE
0.0810810810810811,0.253731343283582,"Alaska",TRUE
0.777777777777778,0.764705882352941,"Alaska",TRUE
0.25,0.411764705882353,"Alaska",TRUE
0.279863481228669,0.348591549295775,"Alaska",TRUE
0.875,0.845070422535211,"Alaska",TRUE
0.0483870967741935,0.172413793103448,"Alaska",TRUE
0.169230769230769,0.365079365079365,"Alaska",TRUE
0.733333333333333,0.574193548387097,"Alaska",TRUE
0.230769230769231,0.450980392156863,"Alaska",TRUE
0.29080118694362,0.382530120481928,"Alaska",TRUE
0.142857142857143,0.324324324324324,"Alaska",TRUE
0.0816326530612245,0.276595744680851,"Alaska",TRUE
0.631578947368421,0.441176470588235,"Alaska",TRUE
0.666666666666667,0.577777777777778,"Alaska",TRUE
0.293286219081272,0.431578947368421,"Alaska",TRUE
0.469879518072289,0.432432432432432,"Alaska",TRUE
1,0.555555555555556,"Alaska",TRUE
0.59375,0.78125,"Alaska",TRUE
0.779069767441861,0.62962962962963,"Alaska",TRUE
0.772727272727273,0.5,"Alaska",TRUE
0.14902807775378,0.321266968325792,"Alaska",TRUE
0.625,0.482758620689655,"Alaska",TRUE
0.217821782178218,0.460490463215259,"Alaska",TRUE
0.16600790513834,0.3046875,"Alaska",TRUE
0.142857142857143,0.302884615384615,"Alaska",TRUE
0.134808853118712,0.312244897959184,"Alaska",TRUE
0.262931034482759,0.349344978165939,"Alaska",TRUE
0.222846441947566,0.37015503875969,"Alaska",TRUE
0.174632352941176,0.333965844402277,"Alaska",TRUE
0.126721763085399,0.290598290598291,"Alaska",TRUE
0.165784832451499,0.321755027422303,"Alaska",TRUE
0.129380053908356,0.335195530726257,"Alaska",TRUE
0.136276391554703,0.320486815415822,"Alaska",TRUE
0.136986301369863,0.318918918918919,"Alaska",TRUE
0.123076923076923,0.254473161033797,"Alaska",TRUE
0.12303664921466,0.315508021390374,"Alaska",TRUE
0.0888407367280607,0.247524752475248,"Alaska",TRUE
0.146722164412071,0.313304721030043,"Alaska",TRUE
0.0939153439153439,0.301120448179272,"Alaska",TRUE
0.116869918699187,0.291578947368421,"Alaska",TRUE
0.122020972354623,0.253507014028056,"Alaska",TRUE
0.0900264783759929,0.263302752293578,"Alaska",TRUE
0.0963855421686747,0.269480519480519,"Alaska",TRUE
0.132505175983437,0.301604278074866,"Alaska",TRUE
0.167901234567901,0.292955326460481,"Alaska",TRUE
0.109452736318408,0.208121827411168,"Alaska",TRUE
0.188524590163934,0.30327868852459,"Alaska",TRUE
0.21747572815534,0.372549019607843,"Alaska",TRUE
0.271111111111111,0.464125560538117,"Alaska",TRUE
0.265873015873016,0.520661157024793,"Alaska",TRUE
0.237668161434978,0.424096385542169,"Alaska",TRUE
0.287037037037037,0.519607843137255,"Alaska",TRUE
0.114285714285714,0.304812834224599,"Alaska",TRUE
0.125161290322581,0.28021978021978,"Alaska",TRUE
0.128589263420724,0.315104166666667,"Alaska",TRUE
0.105263157894737,0.351230425055928,"Alaska",TRUE
0.102689486552567,0.334987593052109,"Alaska",TRUE
0.146288209606987,0.284140969162996,"Alaska",TRUE
0.527675276752767,0.611940298507463,"Alaska",TRUE
0.105882352941176,0.311377245508982,"Alaska",TRUE
0.135635018495684,0.321518987341772,"Alaska",TRUE
0.164383561643836,0.351219512195122,"Alaska",TRUE
0.123393316195373,0.315926892950392,"Alaska",TRUE
0.13713405238829,0.293291731669267,"Alaska",TRUE
0.185416666666667,0.35531914893617,"Alaska",TRUE
