,,,Question 1: Citizen Initiative,,,Question 2: Citizen Initiative,,,Question 3: Citizen Initiative,,,Question 4: Citizen Initiative,,,Question 5: Citizen Initiative,,,Question 6:  Bond Issue,,,Total Ballots Cast,,,,,,,,
CTY,,MUNICIPALITY,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,,,,,,,,,
ARO,,FORT FAIRFIELD,684,989,31,898,779,27,590,"1,083",31,923,752,29,741,909,54,933,721,50,"1,704",,,,,,,,
ARO,,FORT KENT,711,"1,413",63,"1,218",905,64,996,"1,130",61,"1,246",880,61,"1,047","1,037",103,"1,354",748,85,"2,187",,,,,,,,
ARO,,FRENCHVILLE,256,356,14,357,259,10,247,369,10,379,236,11,321,285,20,388,225,13,626,,,,,,,,
ARO,,BIG TWENTY TWP/T15 R15 WELS,0,2,0,1,1,0,0,2,0,0,1,1,0,1,1,0,1,1,2,,,,,,,,
ARO,,GARFIELD PLT,13,39,1,17,34,2,9,42,2,25,27,1,22,30,1,19,32,2,53,,,,,,,,
ARO,,GLENWOOD PLT,0,2,0,2,0,0,0,2,0,2,0,0,1,1,0,2,0,0,2,,,,,,,,
ARO,,GRAND ISLE,107,122,4,142,85,6,82,146,5,162,66,5,115,109,9,145,79,9,233,,,,,,,,
ARO,,HAMLIN,37,64,3,46,54,4,29,72,3,51,51,2,30,71,3,58,39,7,104,,,,,,,,
ARO,,HAMMOND,13,37,0,20,30,0,11,39,0,27,23,0,26,24,0,19,30,1,50,,,,,,,,
ARO,,HAYNESVILLE,14,36,0,19,31,0,6,44,0,20,29,1,20,28,2,20,28,2,50,,,,,,,,
ARO,,HERSEY,10,23,1,11,23,0,2,32,0,13,21,0,11,23,0,16,18,0,34,,,,,,,,
ARO,,HODGDON,163,521,6,258,418,14,122,561,7,264,414,12,232,434,24,283,386,21,690,,,,,,,,
ARO,,HOULTON,935,"1,762",75,"1,393","1,300",79,874,"1,837",61,"1,425","1,273",74,"1,170","1,455",147,"1,450","1,209",113,"2,772",,,,,,,,
ARO,,ISLAND FALLS,143,267,9,168,242,9,111,299,9,182,231,6,142,260,17,200,210,9,419,,,,,,,,
ARO,,T4 R3 TWP,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,,,,,,,,
ARO,,LIMESTONE,343,459,10,482,319,11,325,474,13,474,327,11,383,408,21,472,320,20,812,,,,,,,,
ARO,,LINNEUS,146,328,8,206,264,12,90,388,4,215,255,12,189,270,23,223,240,19,482,,,,,,,,
ARO,,LITTLETON,145,352,12,222,270,17,119,378,12,234,262,13,189,293,27,235,253,21,509,,,,,,,,
ARO,,LUDLOW,85,147,2,118,113,3,48,184,2,110,120,4,87,139,8,95,132,7,234,,,,,,,,
ARO,,MACWAHOC PLT,13,30,1,16,28,0,3,41,0,18,25,1,13,29,2,14,27,3,44,,,,,,,,
ARO,,MADAWASKA,846,"1,309",91,"1,333",815,98,"1,058","1,102",86,"1,472",675,99,"1,198",905,143,"1,458",658,130,"2,246",,,,,,,,
ARO,,MADAWASKA LAKE TWP (T16 R4),41,66,1,57,49,2,54,53,1,67,39,2,40,66,2,68,39,1,108,,,,,,,,
ARO,,MAPLETON,405,737,13,492,643,20,293,845,17,455,678,22,442,679,34,533,589,33,"1,155",,,,,,,,
ARO,,MARS HILL,224,540,18,294,468,20,212,553,17,322,443,17,282,471,29,329,424,29,782,,,,,,,,
ARO,,MASARDIS,57,70,3,65,63,2,19,110,1,72,55,3,63,61,6,66,62,2,130,,,,,,,,
ARO,,MERRILL,56,80,1,57,78,2,36,100,1,66,70,1,54,79,4,57,78,2,137,,,,,,,,
PEN,,MOLUNKUS TWP,23,25,0,24,24,0,9,38,1,28,20,0,19,28,1,21,27,0,48,,,,,,,,
ARO,,MONTICELLO,150,267,8,181,240,4,71,349,5,199,220,6,184,230,11,197,219,9,425,,,,,,,,
ARO,,MORO PLT,7,20,0,2,25,0,5,22,0,9,18,0,2,25,0,6,21,0,27,,,,,,,,
ARO,,NASHVILLE PLT,6,14,0,11,9,0,8,12,0,9,11,0,9,11,0,12,8,0,20,,,,,,,,
ARO,,NEW CANADA,58,103,3,90,69,5,73,88,3,86,74,4,79,80,5,96,62,6,164,,,,,,,,
ARO,,NEW LIMERICK,93,252,2,147,196,4,91,253,3,141,204,2,127,212,8,159,183,5,347,,,,,,,,
ARO,,NEW SWEDEN,169,206,2,215,157,5,147,224,6,220,155,2,175,190,12,215,149,13,377,,,,,,,,
ARO,,OAKFIELD,132,242,18,181,189,22,88,293,11,176,194,22,158,207,27,172,193,27,392,,,,,,,,
ARO,,ORIENT,40,49,0,34,54,1,18,71,0,47,41,1,32,54,3,40,46,3,89,,,,,,,,
ARO,,OXBOW PLT,11,25,2,14,23,1,5,32,1,17,20,1,11,26,1,19,18,1,38,,,,,,,,
ARO,,PERHAM,81,121,5,80,121,6,49,154,4,96,107,4,62,135,10,92,109,6,207,,,,,,,,
ARO,,PORTAGE LAKE,102,155,3,130,127,3,69,187,4,132,124,4,100,153,7,150,103,7,260,,,,,,,,
ARO,,PRESQUE ISLE,"1,728","2,584",113,"2,191","2,106",128,"1,698","2,620",107,"2,244","2,054",127,"1,920","2,320",185,"2,330","1,935",160,"4,425",,,,,,,,
ARO,,REED PLT,27,51,1,30,47,2,18,61,0,40,38,1,31,45,3,34,43,2,79,,,,,,,,
ARO,,SAINT AGATHA,255,324,7,358,217,11,236,342,8,406,170,10,318,244,24,410,159,17,586,,,,,,,,
ARO,,SAINT FRANCIS,94,146,6,152,91,3,90,154,2,161,81,4,130,96,20,154,80,12,246,,,,,,,,
ARO,,SAINT JOHN PLT,54,109,4,92,69,6,72,91,4,102,59,6,84,75,8,118,42,7,167,,,,,,,,
ARO,,SHERMAN,201,436,10,243,396,8,116,524,7,267,372,8,220,414,13,253,382,12,647,,,,,,,,
ARO,,SMYRNA,57,95,1,65,86,2,37,115,1,81,72,0,48,101,4,59,88,6,153,,,,,,,,
ARO,,STOCKHOLM,65,90,2,71,83,3,47,107,3,67,89,1,62,90,5,83,67,7,157,,,,,,,,
ARO,,VAN BUREN,344,581,39,551,359,54,475,447,42,623,303,38,437,446,81,607,291,66,964,,,,,,,,
ARO,,T17 R3 VAN BUREN COVE TWP,12,11,1,11,12,1,10,13,1,14,9,1,12,11,1,17,6,1,24,,,,,,,,
ARO,,WADE,55,90,1,66,79,1,38,108,0,63,83,0,59,85,2,78,66,2,146,,,,,,,,
ARO,,WALLAGRASS,98,195,8,183,112,6,135,161,5,183,114,4,151,136,14,189,101,11,301,,,,,,,,
ARO,,WASHBURN,277,570,17,424,418,22,279,568,17,434,408,22,328,501,35,438,396,30,864,,,,,,,,
ARO,,WESTFIELD,81,175,2,120,131,7,78,180,0,140,113,5,117,134,7,139,112,7,258,,,,,,,,
ARO,,WESTMANLAND,9,39,1,22,25,2,17,31,1,28,20,1,17,30,2,28,17,4,49,,,,,,,,
ARO,,WESTON,79,104,2,83,98,4,46,136,3,100,83,2,71,105,9,89,88,8,185,,,,,,,,
ARO,,WINTERVILLE PLT,52,80,6,75,56,7,48,85,5,76,56,6,59,70,9,87,41,10,138,,,,,,,,
ARO,,WOODLAND,251,420,15,349,322,15,181,492,13,326,346,14,288,363,35,360,296,30,686,,,,,,,,
,,Total:,"13,015","22,433",809,"18,209","17,117",931,"12,386","23,117",754,"19,010","16,378",869,"15,561","19,112","1,584","19,486","15,400","1,371","36,257",,,,,,,,
CUM,,BALDWIN,435,476,25,384,526,26,249,665,22,415,493,28,346,543,47,444,457,35,936,,,,,,,,
CUM,*,BRIDGTON,"1,546","1,432",46,"1,395","1,577",55,"1,298","1,687",42,"1,624","1,341",62,"1,535","1,391",101,"1,707","1,212",108,"3,027",,,,,,,,
CUM,,BRUNSWICK,"7,000","5,695",197,"7,653","5,038",201,"8,654","4,089",149,"8,506","4,163",223,"7,801","4,649",442,"9,164","3,335",393,"12,892",,,,,,,,
CUM,,CAPE ELIZABETH,"3,327","3,166",105,"2,931","3,558",109,"5,105","1,424",69,"4,257","2,247",94,"4,072","2,342",184,"4,942","1,478",178,"6,598",,,,,,,,
CUM,*,CASCO,"1,187",952,15,"1,024","1,106",25,826,"1,306",23,"1,135",991,29,"1,041","1,053",61,"1,167",940,48,"2,155",,,,,,,,
CUM,,CHEBEAGUE ISLAND,183,136,10,191,128,10,240,80,9,227,92,10,199,116,14,242,76,11,329,,,,,,,,
CUM,,CUMBERLAND,"2,679","2,788",38,"2,129","3,322",54,"3,761","1,727",17,"3,115","2,347",43,"3,091","2,269",145,"3,760","1,630",115,"5,505",,,,,,,,
CUM,,FALMOUTH,"3,970","4,128",81,"3,072","5,021",86,"5,900","2,222",57,"4,672","3,407",100,"4,552","3,404",223,"5,759","2,233",187,"8,179",,,,,,,,
CUM,,FREEPORT,"3,064","2,471",80,"2,659","2,852",104,"3,592","1,952",71,"3,389","2,143",83,"3,349","2,104",162,"3,824","1,646",145,"5,615",,,,,,,,
CUM,,FRYE ISLAND,32,44,2,33,42,3,51,25,2,42,34,2,27,47,4,54,22,2,78,,,,,,,,
CUM,,GORHAM,"4,960","4,857",130,"4,845","4,926",176,"5,532","4,295",120,"5,237","4,537",173,"5,285","4,325",337,"6,016","3,619",312,"9,947",,,,,,,,
CUM,*,GRAY,"2,475","2,414",44,"2,252","2,620",59,"2,099","2,796",36,"2,464","2,411",56,"2,372","2,444",115,"2,707","2,115",109,"4,931",,,,,,,,
CUM,,HARPSWELL,"1,754","1,688",41,"1,758","1,692",33,"2,028","1,429",26,"2,099","1,349",35,"1,817","1,572",94,"2,486",936,61,"3,483",,,,,,,,
CUM,,HARRISON,775,703,19,687,786,24,536,946,15,790,683,24,698,753,46,832,628,37,"1,497",,,,,,,,
CUM,,LONG ISLAND,98,75,3,88,83,5,127,46,3,114,58,4,103,68,5,126,45,5,176,,,,,,,,
CUM,*,NAPLES,"1,256","1,061",16,"1,040","1,271",22,882,"1,439",12,"1,187","1,127",19,"1,075","1,198",60,"1,256","1,027",50,"2,333",,,,,,,,
CUM,*,NEW GLOUCESTER,"1,687","1,657",19,"1,459","1,871",34,"1,351","1,998",15,"1,575","1,768",21,"1,591","1,710",63,"1,752","1,552",60,"3,364",,,,,,,,
CUM,,NORTH YARMOUTH,"1,382","1,251",23,"1,121","1,512",23,"1,580","1,060",16,"1,514","1,118",24,"1,448","1,152",56,"1,729",872,55,"2,656",,,,,,,,
CUM,*,PORTLAND,"24,653","13,073",833,"24,377","13,138","1,062","30,300","7,488",789,"27,059","10,523",995,"26,440","10,523","1,614","28,210","8,537","1,830","38,577",,,,,,,,
CUM,,POWNAL,556,521,11,476,606,6,543,541,4,586,492,10,577,488,23,622,447,19,"1,088",,,,,,,,
CUM,*,RAYMOND,"1,529","1,363",6,"1,274","1,603",21,"1,274","1,607",17,"1,481","1,397",20,"1,426","1,429",43,"1,684","1,171",43,"2,898",,,,,,,,
CUM,*,SCARBOROUGH,"6,071","6,683",245,"5,627","7,074",293,"8,260","4,505",229,"7,108","5,607",279,"6,706","5,754",534,"8,337","4,203",454,"12,994",,,,,,,,
CUM,,SEBAGO,600,526,6,499,626,7,391,739,2,571,555,6,520,577,35,599,510,23,"1,132",,,,,,,,
CUM,*,SOUTH PORTLAND,"8,565","6,226",312,"8,730","6,019",356,"10,790","4,040",275,"9,741","4,998",366,"9,315","5,203",587,"10,377","4,129",599,"15,105",,,,,,,,
CUM,*,STANDISH,"2,933","2,576",46,"2,555","2,938",62,"2,257","3,256",42,"2,828","2,669",58,"2,549","2,886",120,"3,087","2,355",113,"5,555",,,,,,,,
CUM,,WESTBROOK,"5,502","4,313",205,"5,653","4,135",232,"6,059","3,783",178,"5,976","3,850",194,"5,657","3,958",405,"6,235","3,413",372,"10,020",,,,,,,,
CUM,*,WINDHAM,"5,155","4,854",126,"4,697","5,290",153,"4,705","5,329",106,"5,050","4,950",140,"4,914","4,897",329,"5,587","4,288",265,"10,140",,,,,,,,
CUM,,YARMOUTH,"2,772","2,885",68,"2,430","3,208",87,"4,147","1,522",56,"3,563","2,081",81,"3,537","2,041",147,"4,088","1,508",129,"5,725",,,,,,,,
,,Total:,"96,146","78,014","2,752","91,039","82,568","3,328","112,537","61,996","2,402","106,325","67,431","3,179","102,043","68,896","5,996","116,793","54,384","5,758","176,935",,,,,,,,
FRA,,AVON,114,133,1,109,136,3,49,197,2,116,129,3,110,133,5,115,126,7,248,,,,,,,,
FRA,,CARRABASSETT VALLEY,275,196,3,217,254,3,260,210,4,261,210,3,268,195,11,357,105,12,474,,,,,,,,
FRA,,CARTHAGE,135,149,8,143,138,11,69,215,8,126,156,10,111,166,15,140,140,12,292,,,,,,,,
FRA,,CHESTERVILLE,369,369,9,323,415,9,178,559,10,382,353,12,334,390,23,372,357,18,747,,,,,,,,
FRA,,COPLIN PLT,59,42,2,38,63,2,31,70,2,45,56,2,49,50,4,51,49,3,103,,,,,,,,
FRA,,DALLAS PLT,108,96,3,96,108,3,70,134,3,109,94,4,102,101,4,134,71,2,207,,,,,,,,
FRA,,EUSTIS,197,220,8,172,239,14,110,306,9,184,227,14,190,206,29,204,197,24,425,,,,,,,,
FRA,,FARMINGTON,"2,055","1,877",51,"2,231","1,690",62,"1,714","2,221",48,"2,239","1,678",66,"2,111","1,742",130,"2,310","1,533",140,"3,983",,,,,,,,
FRA,*,INDUSTRY,240,226,4,222,243,5,129,338,3,236,228,6,222,237,11,232,232,6,470,,,,,,,,
FRA,,JAY,"1,236","1,351",13,"1,293","1,290",17,858,"1,726",16,"1,346","1,235",19,"1,207","1,354",39,"1,344","1,224",32,"2,600",,,,,,,,
FRA,,KINGFIELD,399,400,11,371,426,13,243,558,9,411,388,11,354,414,42,454,325,31,810,,,,,,,,
FRA,*,NEW SHARON,481,451,10,409,520,13,230,707,5,443,490,9,397,519,26,431,496,15,942,,,,,,,,
FRA,,NEW VINEYARD,210,234,6,176,268,6,116,330,4,187,255,8,170,266,14,196,241,13,450,,,,,,,,
FRA,,PHILLIPS,341,295,13,307,323,19,178,461,10,349,288,12,289,334,26,327,299,23,649,,,,,,,,
FRA,,RANGELEY/ADAMSTOWN TWP,391,346,6,296,434,13,277,460,6,369,367,7,305,413,25,465,254,24,743,,,,,,,,
FRA,,RANGELEY PLT,71,88,3,48,111,3,52,107,3,71,87,4,50,105,7,88,69,5,162,,,,,,,,
FRA,,SANDY RIVER PLT,55,37,1,47,42,4,37,55,1,59,32,2,40,51,2,58,32,3,93,,,,,,,,
FRA,,STRONG,357,417,6,344,428,8,204,573,3,372,404,4,315,455,10,367,400,13,780,,,,,,,,
FRA,,TEMPLE,185,140,3,189,136,3,105,222,1,186,138,4,149,167,12,184,135,9,328,,,,,,,,
FRA,,WELD,118,165,5,123,161,4,82,201,5,132,151,5,104,175,9,140,142,6,288,,,,,,,,
FRA,,WILTON,"1,089","1,109",30,"1,019","1,181",28,727,"1,478",23,"1,089","1,107",32,996,"1,174",58,"1,107","1,065",56,"2,228",,,,,,,,
FRA,,PERKINS TOWNSHIP,8,5,0,8,5,0,6,7,0,8,5,0,9,4,0,9,4,0,13,,,,,,,,
FRA,,WASHINGTON TWP,11,6,0,8,9,0,6,11,0,5,12,0,8,9,0,6,11,0,17,,,,,,,,
FRA,,WYMAN TWP,19,14,0,11,21,1,10,23,0,15,18,0,13,17,3,16,14,3,33,,,,,,,,
,,Total:,"8,523","8,366",196,"8,200","8,641",244,"5,741","11,169",175,"8,740","8,108",237,"7,903","8,677",505,"9,107","7,521",457,"17,085",,,,,,,,
HAN,,AMHERST,84,88,2,71,99,4,40,129,5,77,94,3,72,97,5,88,81,5,174,,,,,,,,
HAN,,AURORA,35,40,1,29,47,0,17,58,1,45,31,0,30,46,0,39,35,2,76,,,,,,,,
HAN,,BAR HARBOR,"1,877","1,296",44,"1,970","1,184",63,"2,314",869,34,"2,165","1,005",47,"2,071","1,026",120,"2,425",664,128,"3,217",,,,,,,,
HAN,,BLUE HILL,957,842,25,967,833,24,"1,002",810,12,"1,118",680,26,"1,057",721,46,"1,262",520,42,"1,824",,,,,,,,
HAN,,BROOKLIN,325,247,2,296,274,4,334,236,4,372,199,3,333,234,7,413,151,10,574,,,,,,,,
HAN,,BROOKSVILLE,349,297,11,326,318,13,348,299,10,434,213,10,354,276,27,445,193,19,657,,,,,,,,
HAN,,BUCKSPORT,"1,288","1,329",38,"1,277","1,342",36,848,"1,782",25,"1,309","1,309",37,"1,184","1,399",72,"1,469","1,132",54,"2,655",,,,,,,,
HAN,,CASTINE,324,267,9,268,321,11,333,259,8,338,251,11,305,271,24,434,150,16,600,,,,,,,,
HAN,,CRANBERRY ISLES,92,56,5,72,74,7,98,53,2,111,38,4,92,52,9,112,33,8,153,,,,,,,,
HAN,,DEDHAM,525,564,11,491,596,13,380,710,10,510,579,11,496,579,25,575,501,24,"1,100",,,,,,,,
HAN,,DEER ISLE,606,605,19,560,657,13,622,597,11,726,495,9,691,502,37,797,412,21,"1,230",,,,,,,,
HAN,,EASTBROOK,104,132,8,104,128,12,42,196,6,97,138,9,91,141,12,109,124,11,244,,,,,,,,
HAN,,ELLSWORTH,"1,983","2,323",95,"1,990","2,312",99,"1,811","2,521",69,"2,081","2,215",105,"1,950","2,276",175,"2,358","1,911",132,"4,401",,,,,,,,
HAN,,FRANKLIN,398,405,8,387,408,16,281,518,12,398,395,18,369,405,37,445,340,26,811,,,,,,,,
HAN,,FRENCHBORO,23,9,1,10,21,2,9,23,1,17,14,2,20,12,1,28,3,2,33,,,,,,,,
HAN,,GOULDSBORO,486,538,10,440,577,17,415,610,9,520,498,16,456,551,27,582,429,23,"1,034",,,,,,,,
HAN,,GREAT POND,18,22,1,18,22,1,15,25,1,22,18,1,14,24,3,22,18,1,41,,,,,,,,
HAN,,HANCOCK,589,719,23,609,700,22,498,818,15,640,672,19,572,713,46,711,586,34,"1,331",,,,,,,,
HAN,,LAMOINE,495,603,14,501,596,15,490,610,12,591,510,11,520,565,27,653,434,25,"1,112",,,,,,,,
HAN,,MARIAVILLE,149,142,1,126,165,1,84,207,1,136,156,0,125,165,2,153,137,2,292,,,,,,,,
HAN,,MOUNT DESERT,780,639,17,721,695,20,941,478,17,947,466,23,816,570,50,"1,057",339,40,"1,436",,,,,,,,
HAN,,ORLAND,702,694,6,645,747,10,461,932,9,741,650,11,656,716,30,814,564,24,"1,402",,,,,,,,
HAN,,OSBORN,15,25,1,16,25,0,9,32,0,15,26,0,13,28,0,18,22,1,41,,,,,,,,
HAN,,OTIS,195,248,6,170,269,10,113,328,8,190,248,11,161,268,20,221,211,17,449,,,,,,,,
HAN,,PENOBSCOT,409,393,8,368,428,14,361,442,7,472,327,11,412,376,22,484,307,19,810,,,,,,,,
HAN,,SEDGWICK,390,363,10,384,365,14,340,413,10,463,285,15,390,349,24,487,255,21,763,,,,,,,,
HAN,,SORRENTO,96,110,4,96,109,5,87,119,4,114,92,4,94,108,8,129,74,7,210,,,,,,,,
HAN,,SOUTHWEST HARBOR,582,539,14,561,553,21,659,465,11,680,439,16,619,473,43,793,301,41,"1,135",,,,,,,,
HAN,,STONINGTON,324,273,14,268,331,12,290,305,16,355,240,16,303,267,41,395,186,30,611,,,,,,,,
HAN,,SULLIVAN,347,314,16,307,352,18,260,405,12,327,338,12,301,346,30,378,278,21,677,,,,,,,,
HAN,,SURRY,477,526,13,489,509,18,451,550,15,521,477,18,475,509,32,631,360,25,"1,016",,,,,,,,
HAN,,SWANS ISLAND,127,125,2,97,155,2,96,156,2,116,134,4,106,140,8,140,109,5,254,,,,,,,,
