Locality,Ward,Pct,Yes,No,Blanks,"Total Votes Cast"
Dedham,-,6,"1,030","1,266",147,"2,443"
Dedham,-,7,811,"1,277",168,"2,256"
Dover,-,1,"1,891","1,992",181,"4,064"
Foxborough,-,1,700,"1,187",130,"2,017"
Foxborough,-,2,822,"1,423",137,"2,382"
Foxborough,-,3,792,"1,442",115,"2,349"
Foxborough,-,4,871,"1,402",121,"2,394"
Foxborough,-,5,859,"1,293",131,"2,283"
Franklin,-,1,883,"1,325",63,"2,271"
Franklin,-,2,974,"1,513",102,"2,589"
Franklin,-,3,939,"1,424",100,"2,463"
Franklin,-,4,"1,007","1,735",89,"2,831"
Franklin,-,5,"1,081","1,661",101,"2,843"
Franklin,-,6,875,"1,256",84,"2,215"
Franklin,-,7,"1,065","1,548",82,"2,695"
Franklin,-,8,994,"1,571",80,"2,645"
Holbrook,-,1,576,870,113,"1,559"
Holbrook,-,2,537,957,137,"1,631"
Holbrook,-,3,539,904,117,"1,560"
Holbrook,-,4,812,549,147,"1,508"
Medfield,-,1,988,"1,091",110,"2,189"
Medfield,-,2,943,"1,072",92,"2,107"
Medfield,-,3,908,"1,120",122,"2,150"
Medfield,-,4,823,"1,073",144,"2,040"
Medway,-,1,795,"1,131",78,"2,004"
Medway,-,2,829,"1,182",108,"2,119"
Medway,-,3,784,"1,272",92,"2,148"
Medway,-,4,775,"1,321",108,"2,204"
Millis,-,1,703,"1,087",44,"1,834"
Millis,-,2,702,"1,076",73,"1,851"
Millis,-,3,728,"1,209",55,"1,992"
Milton,-,1,914,792,99,"1,805"
Milton,-,2,960,781,110,"1,851"
Milton,-,3,878,971,91,"1,940"
Milton,-,4,889,843,120,"1,852"
Milton,-,5,724,712,96,"1,532"
Milton,-,6,675,"1,122",119,"1,916"
Milton,-,7,622,960,107,"1,689"
Milton,-,8,669,"1,148",104,"1,921"
Milton,-,9,690,"1,229",87,"2,006"
Milton,-,10,643,533,96,"1,272"
Needham,-,A,880,825,111,"1,816"
Needham,-,B,"1,012",919,115,"2,046"
Needham,-,C,961,867,92,"1,920"
Needham,-,D,"1,026",868,119,"2,013"
Needham,-,E,"1,118",919,75,"2,112"
Needham,-,F,"1,028",841,82,"1,951"
Needham,-,G,"1,074",811,79,"1,964"
Needham,-,H,"1,115",969,85,"2,169"
Needham,-,I,"1,163",811,89,"2,063"
Needham,-,J,"1,147",948,114,"2,209"
Norfolk,-,1,564,891,60,"1,515"
Norfolk,-,2,"1,122","1,682",124,"2,928"
Norfolk,-,3,924,"1,431",106,"2,461"
Norwood,-,1,904,"1,159",170,"2,233"
Norwood,-,2,776,"1,045",103,"1,924"
Norwood,-,3,815,"1,063",126,"2,004"
Norwood,-,4,752,"1,235",155,"2,142"
Norwood,-,5,681,768,106,"1,555"
Norwood,-,6,632,813,75,"1,520"
Norwood,-,7,790,"1,121",123,"2,034"
Norwood,-,8,790,"1,118",143,"2,051"
Norwood,-,9,689,"1,240",150,"2,079"
Plainville,-,1,714,"1,183",102,"1,999"
Plainville,-,2,683,"1,210",81,"1,974"
Plainville,-,3,662,"1,167",75,"1,904"
Quincy,1,1,624,767,132,"1,523"
Quincy,1,2,555,563,133,"1,251"
Quincy,1,3,815,702,97,"1,614"
Quincy,1,4,691,"1,163",88,"1,942"
Quincy,1,5,741,"1,138",140,"2,019"
Quincy,2,1,694,790,104,"1,588"
Quincy,2,2,671,641,109,"1,421"
Quincy,2,3,312,296,86,694
Quincy,2,3A,61,148,35,244
Quincy,2,4,570,606,136,"1,312"
Quincy,2,5,677,804,152,"1,633"
Quincy,3,1,923,865,147,"1,935"
Quincy,3,2,722,680,74,"1,476"
Quincy,3,3,534,459,84,"1,077"
Quincy,3,4,593,889,107,"1,589"
Quincy,3,5,394,243,56,693
Quincy,4,1,856,854,132,"1,842"
Quincy,4,2,692,976,129,"1,797"
Quincy,4,3,798,"1,154",137,"2,089"
Quincy,4,4,644,553,104,"1,301"
Quincy,4,5,737,693,96,"1,526"
Quincy,5,1,829,714,161,"1,704"
Quincy,5,2,701,587,112,"1,400"
Quincy,5,3,766,787,123,"1,676"
Quincy,5,4,585,654,70,"1,309"
Quincy,5,5,719,716,108,"1,543"
Quincy,6,1,677,576,149,"1,402"
Quincy,6,2,535,452,95,"1,082"
Quincy,6,3,756,"1,150",163,"2,069"
Quincy,6,4,600,588,108,"1,296"
Quincy,6,5,766,"1,228",148,"2,142"
Randolph,-,1,554,739,134,"1,427"
Randolph,-,2,505,579,174,"1,258"
Randolph,-,3,618,693,157,"1,468"
Randolph,-,4,647,697,177,"1,521"
Randolph,-,5,608,691,150,"1,449"
Randolph,-,6,491,608,163,"1,262"
Randolph,-,7,590,677,185,"1,452"
Randolph,-,8,591,664,188,"1,443"
Randolph,-,9,621,683,131,"1,435"
Randolph,-,10,599,741,162,"1,502"
Randolph,-,11,670,778,186,"1,634"
Randolph,-,12,701,816,197,"1,714"
Sharon,-,1,"1,301",955,197,"2,453"
Sharon,-,2,"1,030","1,022",199,"2,251"
Sharon,-,3,"1,259",964,169,"2,392"
Sharon,-,4,"1,285",919,203,"2,407"
Sharon,-,5,"1,012",991,189,"2,192"
Stoughton,-,1,221,823,"1,105","2,149"
Stoughton,-,2,731,"1,022",154,"1,907"
Stoughton,-,3,723,"1,140",160,"2,023"
Stoughton,-,4,196,791,"1,307","2,294"
Stoughton,-,5,627,924,177,"1,728"
Stoughton,-,6,813,"1,335",242,"2,390"
Stoughton,-,7,672,919,152,"1,743"
Stoughton,-,8,175,577,777,"1,529"
Walpole,-,1,769,"1,087",105,"1,961"
Walpole,-,2,772,"1,354",106,"2,232"
Walpole,-,3,699,"1,319",123,"2,141"
Walpole,-,4,728,"1,139",82,"1,949"
Walpole,-,5,632,"1,062",64,"1,758"
Walpole,-,6,738,"1,273",89,"2,100"
Walpole,-,7,699,"1,315",80,"2,094"
Walpole,-,8,750,"1,189",121,"2,060"
Wellesley,-,A,"1,158",993,107,"2,258"
Wellesley,-,B,"1,311","1,076",112,"2,499"
Wellesley,-,C,"1,064","1,166",100,"2,330"
Wellesley,-,D,"1,266","1,093",109,"2,468"
Wellesley,-,E,"1,136",882,120,"2,138"
Wellesley,-,F,788,562,59,"1,409"
Wellesley,-,G,646,422,64,"1,132"
Wellesley,-,H,"1,179",963,118,"2,260"
Westwood,-,1,"1,104","1,384",156,"2,644"
Westwood,-,2,"1,162","1,401",183,"2,746"
Westwood,-,3,"1,129","1,317",158,"2,604"
Westwood,-,4,"1,052","1,428",165,"2,645"
Weymouth,-,1,677,999,79,"1,755"
Weymouth,-,2,651,"1,224",97,"1,972"
Weymouth,-,3,620,"1,244",88,"1,952"
Weymouth,-,4,581,"1,099",76,"1,756"
Weymouth,-,5,627,751,78,"1,456"
Weymouth,-,6,682,"1,164",77,"1,923"
Weymouth,-,7,664,"1,006",66,"1,736"
Weymouth,-,8,691,"1,005",63,"1,759"
Weymouth,-,9,621,"1,274",72,"1,967"
Weymouth,-,10,522,830,43,"1,395"
Weymouth,-,11,658,"1,075",69,"1,802"
Weymouth,-,12,690,"1,143",67,"1,900"
Weymouth,-,13,556,855,70,"1,481"
Weymouth,-,14,609,948,72,"1,629"
Weymouth,-,15,697,"1,282",58,"2,037"
Weymouth,-,16,744,"1,198",73,"2,015"
Weymouth,-,17,559,895,84,"1,538"
Weymouth,-,18,"1,047","1,779",146,"2,972"
Wrentham,-,1,936,"1,617",96,"2,649"
Wrentham,-,2,936,"1,577",76,"2,589"
Wrentham,-,3,938,"1,597",84,"2,619"
Abington,-,1,619,"1,146",95,"1,860"
Abington,-,2,593,"1,186",71,"1,850"
Abington,-,3,579,"1,193",81,"1,853"
Abington,-,4,698,"1,296",94,"2,088"
Abington,-,5,678,"1,301",105,"2,084"
Bridgewater,-,1,832,"1,908",192,"2,932"
Bridgewater,-,2,743,"1,520",155,"2,418"
Bridgewater,-,3,870,"2,077",184,"3,131"
Bridgewater,-,4,400,807,80,"1,287"
Bridgewater,-,5,268,415,40,723
Bridgewater,-,6,719,"1,105",98,"1,922"
Bridgewater,-,7,743,"1,404",143,"2,290"
Brockton,1,A,543,537,139,"1,219"
Brockton,1,B,658,777,157,"1,592"
Brockton,1,C,528,699,163,"1,390"
Brockton,1,D,704,"1,151",143,"1,998"
Brockton,2,A,402,348,211,961
Brockton,2,B,388,345,119,852
Brockton,2,C,385,333,146,864
Brockton,2,D,523,581,201,"1,305"
Brockton,3,A,509,592,194,"1,295"
Brockton,3,B,498,460,198,"1,156"
Brockton,3,C,643,970,164,"1,777"
Brockton,3,D,663,"1,015",132,"1,810"
Brockton,4,A,396,331,165,892
Brockton,4,B,581,691,193,"1,465"
Brockton,4,C,570,727,196,"1,493"
Brockton,4,D,528,704,210,"1,442"
Brockton,5,A,546,563,156,"1,265"
Brockton,5,B,610,808,164,"1,582"
Brockton,5,C,538,620,208,"1,366"
Brockton,5,D,614,798,147,"1,559"
Brockton,6,A,508,575,151,"1,234"
Brockton,6,B,659,987,142,"1,788"
Brockton,6,C,624,746,164,"1,534"
Brockton,6,D,580,964,107,"1,651"
Brockton,7,A,508,444,208,"1,160"
Brockton,7,B,609,643,244,"1,496"
Brockton,7,C,504,597,225,"1,326"
Brockton,7,D,620,731,131,"1,482"
Carver,-,1,650,"1,498",110,"2,258"
Carver,-,2,607,"1,507",88,"2,202"
Carver,-,3,644,"1,755",142,"2,541"
Duxbury,-,1,780,"1,281",82,"2,143"
Duxbury,-,2,712,"1,166",87,"1,965"
Duxbury,-,3,631,"1,190",61,"1,882"
Duxbury,-,4,606,"1,129",67,"1,802"
Duxbury,-,5,628,"1,140",51,"1,819"
Duxbury,-,6,516,"1,115",57,"1,688"
"E. Bridgewater",-,1,641,"1,439",122,"2,202"
"E. Bridgewater",-,2,644,"1,427",97,"2,168"
"E. Bridgewater",-,3,621,"1,554",150,"2,325"
"E. Bridgewater",-,4,647,"1,371",108,"2,126"
Halifax,-,1,724,"1,684",138,"2,546"
Halifax,-,2,706,"1,540",101,"2,347"
Hanover,-,1,717,"1,683",108,"2,508"
Hanover,-,2,734,"1,643",113,"2,490"
Hanover,-,3,658,"1,524",117,"2,299"
Hanover,-,4,717,"1,608",97,"2,422"
Hanson,-,1,594,"1,611",95,"2,300"
Hanson,-,2,683,"1,565",64,"2,312"
Hanson,-,3,654,"1,463",70,"2,187"
Hingham,-,1,"1,150","1,466",140,"2,756"
Hingham,-,2,"1,165","1,549",128,"2,842"
Hingham,-,3,"1,168","1,478",136,"2,782"
Hingham,-,4,978,"1,399",134,"2,511"
Hingham,-,5,615,"1,166",95,"1,876"
Hingham,-,5A,386,660,93,"1,139"
Hingham,-,6,807,"1,546",127,"2,480"
Hull,-,1,923,"1,336",130,"2,389"
Hull,-,2,755,"1,298",127,"2,180"
Hull,-,3,969,"1,468",129,"2,566"
Kingston,-,1,666,"1,266",78,"2,010"
Kingston,-,2,691,"1,540",89,"2,320"
Kingston,-,3,714,"1,546",82,"2,342"
Kingston,-,4,543,"1,267",87,"1,897"
Lakeville,-,1,695,"1,516",82,"2,293"
Lakeville,-,2,717,"1,563",89,"2,369"
Lakeville,-,3,814,"1,786",115,"2,715"
Marion,-,1,"1,359","2,105",253,"3,717"
Marshfield,-,1,709,"1,754",79,"2,542"
Marshfield,-,2,728,"1,671",96,"2,495"
Marshfield,-,3,663,"1,684",79,"2,426"
Marshfield,-,4,738,"1,644",91,"2,473"
Marshfield,-,5,675,"1,500",97,"2,272"
Marshfield,-,6,857,"1,871",87,"2,815"
Marshfield,-,7,884,"1,677",76,"2,637"
Mattapoisett,-,1,"1,632","2,900",209,"4,741"
Middleborough,-,1,673,"2,079",113,"2,865"
Middleborough,-,2,764,"1,281",119,"2,164"
Middleborough,-,3,705,"1,543",86,"2,334"
Middleborough,-,4,665,"1,142",104,"1,911"
Middleborough,-,5,777,"1,635",114,"2,526"
Middleborough,-,6,569,"1,434",120,"2,123"
Norwell,-,1,765,"1,537",110,"2,412"
Norwell,-,2,883,"1,597",107,"2,587"
Norwell,-,3,921,"1,424",102,"2,447"
Pembroke,-,1,800,"1,616",131,"2,547"
Pembroke,-,2,626,"1,504",99,"2,229"
Pembroke,-,3,724,"1,548",96,"2,368"
Pembroke,-,4,727,"1,606",66,"2,399"
Pembroke,-,5,704,"1,481",90,"2,275"
Plymouth,-,1,701,"1,135",59,"1,895"
Plymouth,-,2,945,"1,524",82,"2,551"
Plymouth,-,3,773,"1,174",84,"2,031"
Plymouth,-,4,763,"1,339",69,"2,171"
Plymouth,-,5,775,"1,615",72,"2,462"
Plymouth,-,6,808,"1,496",74,"2,378"
Plymouth,-,7,827,"1,469",87,"2,383"
Plymouth,-,8,789,"1,732",57,"2,578"
Plymouth,-,9,619,"1,423",57,"2,099"
Plymouth,-,10,513,"1,064",44,"1,621"
Plymouth,-,11,692,"1,704",84,"2,480"
Plymouth,-,12,882,"1,894",68,"2,844"
Plymouth,-,13,773,"1,737",82,"2,592"
Plymouth,-,14,748,"1,716",52,"2,516"
Plymouth,-,15,"1,469","3,327",147,"4,943"
Plympton,-,1,555,"1,298",81,"1,934"
Rochester,-,1,"1,136","2,563",159,"3,858"
Rockland,-,1,574,"1,210",72,"1,856"
Rockland,-,2,550,"1,184",131,"1,865"
Rockland,-,3,408,874,70,"1,352"
Rockland,-,4,514,932,85,"1,531"
Rockland,-,5,482,"1,095",68,"1,645"
Rockland,-,6,586,"1,131",76,"1,793"
Scituate,-,1,861,"1,408",97,"2,366"
Scituate,-,2,839,"1,324",92,"2,255"
Scituate,-,3,887,"1,296",108,"2,291"
Scituate,-,4,762,"1,450",94,"2,306"
Scituate,-,5,814,"1,288",92,"2,194"
Scituate,-,6,773,"1,381",99,"2,253"
Wareham,-,1,607,"1,177",134,"1,918"
Wareham,-,2,703,"1,451",111,"2,265"
Wareham,-,3,699,"1,448",129,"2,276"
Wareham,-,4,630,"1,359",142,"2,131"
Wareham,-,5,687,"1,375",115,"2,177"
Wareham,-,6,649,"1,283",88,"2,020"
"W. Bridgewater",-,1,721,"1,568",120,"2,409"
"W. Bridgewater",-,2,677,"1,455",124,"2,256"
Whitman,-,1,792,"1,543",104,"2,439"
Whitman,-,2,692,"1,353",86,"2,131"
Whitman,-,3,685,"1,327",64,"2,076"
Whitman,-,4,687,"1,272",74,"2,033"
Boston,1,1,740,369,73,"1,182"
Boston,1,2,505,258,87,850
Boston,1,3,"1,341",655,169,"2,165"
Boston,1,4,548,273,74,895
Boston,1,5,577,360,103,"1,040"
Boston,1,6,530,277,77,884
Boston,1,7,570,289,80,939
Boston,1,8,650,415,151,"1,216"
Boston,1,9,468,311,63,842
Boston,1,10,337,205,55,597
Boston,1,11,476,457,139,"1,072"
Boston,1,12,452,526,119,"1,097"
Boston,1,13,717,611,102,"1,430"
Boston,1,14,294,322,85,701
Boston,1,15,1,0,0,1
Boston,2,1,841,781,133,"1,755"
Boston,2,2,"1,062",961,186,"2,209"
Boston,2,3,667,563,76,"1,306"
Boston,2,4,653,489,78,"1,220"
Boston,2,5,704,606,71,"1,381"
Boston,2,6,813,738,124,"1,675"
Boston,2,7,850,616,90,"1,556"
Boston,3,1,"1,208","1,036",193,"2,437"
Boston,3,2,648,487,120,"1,255"
Boston,3,3,735,525,104,"1,364"
Boston,3,4,907,596,106,"1,609"
Boston,3,5,"1,528","1,039",235,"2,802"
Boston,3,6,"1,963","1,295",209,"3,467"
Boston,3,7,"1,799",855,173,"2,827"
Boston,3,8,"2,512","1,218",504,"4,234"
Boston,4,1,928,513,74,"1,515"
Boston,4,2,"1,213",922,193,"2,328"
Boston,4,3,655,354,49,"1,058"
Boston,4,4,880,419,126,"1,425"
Boston,4,5,598,298,100,996
Boston,4,6,561,242,84,887
Boston,4,7,556,264,57,877
Boston,4,8,464,190,92,746
Boston,4,9,251,123,62,436
Boston,4,10,159,49,14,222
Boston,5,1,"1,798",960,341,"3,099"
Boston,5,2,770,258,52,"1,080"
Boston,5,2A,498,196,65,759
Boston,5,3,854,449,80,"1,383"
Boston,5,4,"1,112",459,96,"1,667"
Boston,5,5,308,202,33,543
Boston,5,6,765,526,90,"1,381"
Boston,5,7,969,634,102,"1,705"
Boston,5,8,900,578,79,"1,557"
Boston,5,9,"1,212",743,103,"2,058"
Boston,5,10,722,341,97,"1,160"
Boston,5,11,552,319,49,920
Boston,6,1,"2,866","2,053",304,"5,223"
Boston,6,2,565,419,88,"1,072"
Boston,6,3,868,643,84,"1,595"
Boston,6,4,782,680,59,"1,521"
Boston,6,5,766,688,102,"1,556"
Boston,6,6,533,632,101,"1,266"
Boston,6,7,655,664,104,"1,423"
Boston,6,8,555,616,106,"1,277"
Boston,6,9,480,687,94,"1,261"
Boston,7,1,432,634,78,"1,144"
Boston,7,2,680,732,66,"1,478"
Boston,7,3,704,726,89,"1,519"
Boston,7,4,629,575,116,"1,320"
Boston,7,5,592,419,90,"1,101"
Boston,7,6,553,391,109,"1,053"
Boston,7,7,413,220,134,767
Boston,7,8,636,376,63,"1,075"
Boston,7,9,498,315,53,866
Boston,7,10,391,255,136,782
Boston,8,1,563,290,96,949
Boston,8,2,"1,014",451,160,"1,625"
Boston,8,3,431,222,103,756
Boston,8,4,249,161,54,464
Boston,8,5,439,286,153,878
Boston,8,6,188,106,49,343
Boston,8,7,380,203,71,654
Boston,9,1,749,377,173,"1,299"
Boston,9,2,"1,060",513,102,"1,675"
Boston,9,3,"1,104",591,269,"1,964"
Boston,9,4,672,376,208,"1,256"
Boston,9,5,857,425,159,"1,441"
Boston,10,1,339,215,119,673
Boston,10,2,392,168,66,626
Boston,10,3,389,160,49,598
Boston,10,4,671,284,271,"1,226"
Boston,10,5,555,191,39,785
Boston,10,6,600,201,79,880
Boston,10,7,647,269,170,"1,086"
Boston,10,8,973,345,137,"1,455"
Boston,10,9,"1,229",338,60,"1,627"
Boston,11,1,484,163,41,688
Boston,11,2,688,302,104,"1,094"
Boston,11,3,484,293,83,860
Boston,11,4,923,340,106,"1,369"
Boston,11,5,777,289,128,"1,194"
Boston,11,6,754,169,55,978
Boston,11,7,889,252,61,"1,202"
Boston,11,8,"1,297",290,70,"1,657"
Boston,11,9,702,124,39,865
Boston,11,10,854,185,50,"1,089"
Boston,12,1,605,380,137,"1,122"
Boston,12,2,769,504,116,"1,389"
Boston,12,3,313,201,54,568
Boston,12,4,426,256,105,787
Boston,12,5,316,142,54,512
Boston,12,6,346,225,86,657
Boston,12,7,817,392,221,"1,430"
Boston,12,8,308,168,64,540
Boston,12,9,403,227,76,706
Boston,13,1,474,344,110,928
Boston,13,2,200,154,32,386
Boston,13,3,520,266,129,915
Boston,13,4,371,229,82,682
Boston,13,5,367,193,101,661
Boston,13,6,555,308,74,937
Boston,13,7,616,366,130,"1,112"
Boston,13,8,573,291,115,979
Boston,13,9,656,332,77,"1,065"
Boston,13,10,772,580,79,"1,431"
Boston,14,1,842,499,157,"1,498"
Boston,14,2,777,589,239,"1,605"
Boston,14,3,447,266,62,775
Boston,14,4,510,296,97,903
Boston,14,5,389,260,83,732
Boston,14,6,363,261,86,710
Boston,14,7,394,266,53,713
Boston,14,8,456,279,112,847
Boston,14,9,489,268,46,803
Boston,14,10,483,306,105,894
Boston,14,11,454,307,72,833
Boston,14,12,263,161,57,481
Boston,14,13,370,251,64,685
Boston,14,14,446,262,102,810
Boston,15,1,535,325,138,998
Boston,15,2,373,211,92,676
Boston,15,3,211,124,79,414
Boston,15,4,593,423,248,"1,264"
Boston,15,5,459,279,106,844
Boston,15,6,231,169,148,548
Boston,15,7,381,209,93,683
Boston,15,8,286,239,140,665
Boston,15,9,350,191,125,666
Boston,16,1,389,296,106,791
Boston,16,2,364,279,74,717
Boston,16,3,503,351,177,"1,031"
Boston,16,4,507,353,108,968
Boston,16,5,517,429,113,"1,059"
Boston,16,6,676,509,173,"1,358"
Boston,16,7,406,519,85,"1,010"
Boston,16,8,573,511,72,"1,156"
Boston,16,9,425,727,91,"1,243"
Boston,16,10,434,549,106,"1,089"
Boston,16,11,466,584,101,"1,151"
Boston,16,12,280,659,106,"1,045"
Boston,17,1,374,270,97,741
Boston,17,2,321,233,52,606
Boston,17,3,773,432,87,"1,292"
Boston,17,4,781,611,142,"1,534"
Boston,17,5,290,206,94,590
Boston,17,6,577,273,100,950
Boston,17,7,274,180,45,499
Boston,17,8,432,331,77,840
Boston,17,9,459,206,59,724
Boston,17,10,559,410,110,"1,079"
Boston,17,11,274,139,38,451
Boston,17,12,396,268,75,739
Boston,17,13,508,414,119,"1,041"
Boston,17,14,490,439,71,"1,000"
Boston,18,1,603,613,183,"1,399"
Boston,18,2,531,378,126,"1,035"
Boston,18,3,580,445,140,"1,165"
Boston,18,4,609,452,178,"1,239"
Boston,18,5,640,496,141,"1,277"
Boston,18,6,716,625,170,"1,511"
Boston,18,7,596,468,116,"1,180"
Boston,18,8,968,746,251,"1,965"
Boston,18,9,648,445,85,"1,178"
Boston,18,10,"1,094",587,122,"1,803"
Boston,18,11,527,343,133,"1,003"
Boston,18,12,572,510,115,"1,197"
Boston,18,13,345,289,81,715
Boston,18,14,374,303,96,773
Boston,18,15,570,473,121,"1,164"
Boston,18,16,601,670,78,"1,349"
Boston,18,17,604,482,125,"1,211"
Boston,18,18,675,625,202,"1,502"
Boston,18,19,"1,038",819,156,"2,013"
Boston,18,20,709,789,138,"1,636"
Boston,18,21,707,535,148,"1,390"
Boston,18,22,613,682,104,"1,399"
Boston,18,23,530,328,157,"1,015"
Boston,19,1,895,167,40,"1,102"
Boston,19,2,768,499,88,"1,355"
Boston,19,3,714,221,33,968
Boston,19,4,"1,056",216,48,"1,320"
Boston,19,5,822,219,63,"1,104"
Boston,19,6,"1,197",263,63,"1,523"
Boston,19,7,"1,129",292,84,"1,505"
Boston,19,8,578,140,27,745
Boston,19,9,555,155,24,734
Boston,19,10,855,440,100,"1,395"
Boston,19,11,711,332,125,"1,168"
Boston,19,12,617,305,63,985
Boston,19,13,513,270,71,854
Boston,20,1,779,418,83,"1,280"
Boston,20,2,836,445,66,"1,347"
Boston,20,3,620,617,104,"1,341"
Boston,20,4,796,289,40,"1,125"
Boston,20,5,578,662,115,"1,355"
Boston,20,6,689,673,87,"1,449"
Boston,20,7,461,390,43,894
Boston,20,8,589,386,31,"1,006"
Boston,20,9,653,392,70,"1,115"
Boston,20,10,743,804,104,"1,651"
Boston,20,11,401,310,39,750
Boston,20,12,416,476,55,947
Boston,20,13,398,427,32,857
Boston,20,14,400,442,19,861
Boston,20,15,713,702,84,"1,499"
Boston,20,16,646,820,107,"1,573"
Boston,20,17,759,883,101,"1,743"
Boston,20,18,430,379,48,857
Boston,20,19,436,453,36,925
Boston,20,20,756,659,74,"1,489"
Boston,21,1,980,297,94,"1,371"
Boston,21,2,241,68,21,330
Boston,21,3,612,168,40,820
Boston,21,4,581,114,24,719
Boston,21,5,839,186,33,"1,058"
Boston,21,6,573,208,32,813
Boston,21,7,736,248,87,"1,071"
Boston,21,8,"1,044",228,50,"1,322"
Boston,21,9,943,312,90,"1,345"
Boston,21,10,668,230,100,998
Boston,21,11,926,308,79,"1,313"
Boston,21,12,770,261,138,"1,169"
Boston,21,13,905,337,311,"1,553"
Boston,21,14,585,172,23,780
Boston,21,15,676,219,39,934
Boston,21,16,769,383,104,"1,256"
Boston,22,1,"1,084",325,89,"1,498"
Boston,22,2,"1,181",410,134,"1,725"
Boston,22,3,987,424,69,"1,480"
Boston,22,4,707,349,56,"1,112"
Boston,22,5,621,268,46,935
Boston,22,6,626,243,38,907
Boston,22,7,849,340,54,"1,243"
Boston,22,8,582,284,74,940
Boston,22,9,628,347,82,"1,057"
Boston,22,10,815,328,57,"1,200"
Boston,22,11,565,291,34,890
Boston,22,12,518,283,46,847
Boston,22,13,464,239,44,747
Chelsea,1,1,258,239,93,590
Chelsea,1,2,178,123,77,378
Chelsea,1,3,244,166,68,478
Chelsea,1,4,220,147,89,456
Chelsea,2,1,626,563,201,"1,390"
Chelsea,2,2,430,250,128,808
Chelsea,2,3,171,104,81,356
Chelsea,2,4,253,158,122,533
Chelsea,3,1,278,231,94,603
Chelsea,3,2,365,293,125,783
Chelsea,3,3,266,217,133,616
Chelsea,3,4,304,238,100,642
Chelsea,4,1,371,263,109,743
Chelsea,4,2,321,390,139,850
Chelsea,4,3,332,308,145,785
Chelsea,4,4,245,271,120,636
Revere,1,1,548,532,173,"1,253"
Revere,1,2,459,466,147,"1,072"
Revere,1,3,412,468,184,"1,064"
Revere,2,1,451,332,121,904
Revere,2,2,589,441,184,"1,214"
Revere,2,3,202,130,60,392
Revere,2,3A,75,61,25,161
Revere,3,1,451,580,198,"1,229"
Revere,3,2,434,482,170,"1,086"
Revere,3,3,488,500,156,"1,144"
Revere,4,1,433,589,209,"1,231"
Revere,4,2,393,497,147,"1,037"
Revere,4,3,431,648,195,"1,274"
Revere,5,1,339,499,140,978
Revere,5,1A,239,345,138,722
Revere,5,2,215,276,100,591
Revere,5,2A,225,218,118,561
Revere,5,3,414,535,151,"1,100"
Revere,6,1,426,807,210,"1,443"
Revere,6,2,455,816,263,"1,534"
Revere,6,3,386,434,185,"1,005"
Winthrop,-,1,654,"1,042",109,"1,805"
Winthrop,-,2,616,962,124,"1,702"
Winthrop,-,3,671,896,134,"1,701"
Winthrop,-,4,505,870,144,"1,519"
Winthrop,-,5,679,"1,013",136,"1,828"
Winthrop,-,6,705,934,107,"1,746"
Ashburnham,-,1,"1,386","2,285",166,"3,837"
Athol,-,1,589,"1,290",63,"1,942"
Athol,-,2,586,"1,155",57,"1,798"
Athol,-,3,554,"1,179",58,"1,791"
Auburn,-,1,678,"1,395",98,"2,171"
Auburn,-,2,703,"1,331",89,"2,123"
Auburn,-,3,644,"1,374",119,"2,137"
Auburn,-,4,683,"1,117",91,"1,891"
Auburn,-,5,652,"1,210",77,"1,939"
Barre,-,1,543,"1,035",56,"1,634"
Barre,-,2,431,"1,070",32,"1,533"
Berlin,-,1,953,"1,235",87,"2,275"
Blackstone,-,1,491,"1,032",65,"1,588"
Blackstone,-,2,566,"1,212",66,"1,844"
Blackstone,-,3,501,"1,156",64,"1,721"
Bolton,-,1,"1,880","1,818",115,"3,813"
Boylston,-,1,"1,252","1,972",97,"3,321"
Brookfield,-,1,632,"1,328",102,"2,062"
Charlton,-,1,576,"1,304",58,"1,938"
Charlton,-,2,607,"1,431",72,"2,110"
Charlton,-,3,655,"1,433",70,"2,158"
Charlton,-,4,617,"1,278",68,"1,963"
Clinton,-,1,747,"1,244",86,"2,077"
Clinton,-,2,757,"1,040",91,"1,888"
Clinton,-,3,765,"1,188",76,"2,029"
Clinton,-,4,669,"1,089",108,"1,866"
Douglas,-,1,555,"1,286",83,"1,924"
Douglas,-,2,578,"1,240",66,"1,884"
Douglas,-,3,545,"1,176",58,"1,779"
Dudley,-,1,668,"1,577",107,"2,352"
Dudley,-,2,627,"1,331",76,"2,034"
Dudley,-,3,531,"1,144",54,"1,729"
"E. Brookfield",-,1,369,958,43,"1,370"
Fitchburg,1,A,436,618,63,"1,117"
Fitchburg,1,B,549,734,52,"1,335"
Fitchburg,2,A,430,574,61,"1,065"
Fitchburg,2,B,533,942,74,"1,549"
Fitchburg,3,A,692,"1,298",77,"2,067"
Fitchburg,3,B,629,953,66,"1,648"
Fitchburg,4,A,279,364,51,694
Fitchburg,4,B,524,591,53,"1,168"
Fitchburg,5,A,702,"1,287",81,"2,070"
Fitchburg,5,B,403,421,67,891
Fitchburg,6,A,638,"1,090",81,"1,809"
Fitchburg,6,B,518,650,33,"1,201"
Gardner,1,A,441,690,47,"1,178"
Gardner,1,B,148,333,14,495
Gardner,2,A,354,657,28,"1,039"
Gardner,2,B,430,746,29,"1,205"
Gardner,3,A,315,519,38,872
Gardner,3,B,370,651,36,"1,057"
Gardner,4,A,350,571,44,965
