City/Town,Ward,Pct,"Joseph R. Biden, Jr.","Donald J. Trump","Jo Jorgensen","Howard Hawkins","All Others","No Preference",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-Rainbow
Newton,6,4,"1,661",204,18,10,11,0,8,"1,912"
Newton,7,1,"1,191",234,31,9,10,0,9,"1,484"
Newton,7,2,"1,595",256,18,6,16,0,9,"1,900"
Newton,7,3,439,80,8,1,5,0,2,535
Newton,7,4,685,134,7,3,8,0,5,842
Newton,8,1,"1,388",478,26,5,12,0,17,"1,926"
Newton,8,2,"1,325",412,17,1,19,0,17,"1,791"
Newton,8,3,"1,354",370,17,8,9,0,12,"1,770"
Newton,8,4,822,287,17,6,9,0,4,"1,145"
Norfolk,-,1,874,584,28,2,12,0,15,"1,515"
Norfolk,-,2,"1,751","1,080",43,16,17,0,21,"2,928"
Norfolk,-,3,"1,475",906,35,5,25,0,15,"2,461"
"N. Adams",1,1,932,388,11,6,0,0,12,"1,349"
"N. Adams",2,2,848,288,14,6,0,0,10,"1,166"
"N. Adams",3,3,678,216,10,15,0,0,9,928
"N. Adams",4,4,957,390,16,7,0,0,14,"1,384"
"N. Adams",5,5,801,318,21,10,0,0,9,"1,159"
"N. Andover",-,1,"1,248",759,29,9,9,0,15,"2,069"
"N. Andover",-,2,"1,373",838,39,12,20,0,16,"2,298"
"N. Andover",-,3,"1,331",766,22,10,13,0,9,"2,151"
"N. Andover",-,4,"1,691",915,25,5,14,0,15,"2,665"
"N. Andover",-,5,988,537,16,3,9,0,10,"1,563"
"N. Andover",-,6,"1,459",942,30,7,23,0,20,"2,481"
"N. Andover",-,7,"1,516",817,31,14,25,0,14,"2,417"
"N. Andover",-,8,"1,416",974,52,5,20,0,11,"2,478"
"N. Attleborough",-,1,958,600,16,14,4,0,8,"1,600"
"N. Attleborough",-,2,"1,113",797,34,8,4,0,10,"1,966"
"N. Attleborough",-,3,"1,070",874,38,16,4,0,20,"2,022"
"N. Attleborough",-,4,978,602,21,6,4,0,5,"1,616"
"N. Attleborough",-,5,"1,003",760,21,15,7,0,13,"1,819"
"N. Attleborough",-,6,"1,232",800,46,13,9,0,15,"2,115"
"N. Attleborough",-,7,"1,188",900,24,6,16,0,12,"2,146"
"N. Attleborough",-,8,"1,126",851,33,8,7,0,12,"2,037"
"N. Attleborough",-,9,"1,056",866,29,10,4,0,14,"1,979"
"N. Brookfield",-,1,"1,181","1,459",54,10,11,0,16,"2,731"
"N. Reading",-,1,"1,412","1,124",36,9,17,0,14,"2,612"
"N. Reading",-,2,"1,398",937,34,5,16,0,21,"2,411"
"N. Reading",-,3,"1,371","1,012",35,6,11,0,20,"2,455"
"N. Reading",-,4,"1,404","1,043",35,15,10,0,22,"2,529"
Northampton,1,A,955,102,15,17,4,0,8,"1,101"
Northampton,1,B,"1,339",137,11,21,6,0,8,"1,522"
Northampton,2,A,"1,209",57,8,10,4,0,2,"1,290"
Northampton,2,B,825,47,9,2,3,0,2,888
Northampton,3,A,"1,247",107,10,27,8,0,4,"1,403"
Northampton,3,B,"1,166",109,16,28,7,0,9,"1,335"
Northampton,4,A,908,62,5,18,8,0,6,"1,007"
Northampton,4,B,"1,116",93,7,10,10,0,3,"1,239"
Northampton,5,A,"1,035",142,6,9,6,0,3,"1,201"
Northampton,5,B,"1,125",116,6,12,2,0,4,"1,265"
Northampton,6,A,"1,049",270,12,10,4,0,8,"1,353"
Northampton,6,B,"1,259",230,18,11,6,0,15,"1,539"
Northampton,7,A,"1,241",168,10,16,4,0,10,"1,449"
Northampton,7,B,"1,175",215,13,8,4,0,9,"1,424"
Northborough,-,1,"1,643",728,30,15,22,0,11,"2,449"
Northborough,-,2,"1,577",701,46,18,11,0,11,"2,364"
Northborough,-,3,"1,638",702,41,8,20,0,19,"2,428"
Northborough,-,4,"1,618",782,49,10,28,0,18,"2,505"
Northbridge,-,1,"1,178","1,040",44,14,9,0,10,"2,295"
Northbridge,-,2,"1,209","1,041",54,7,7,0,26,"2,344"
Northbridge,-,3,"1,006",898,39,15,7,0,13,"1,978"
Northbridge,-,4,"1,327","1,265",43,12,13,0,27,"2,687"
Northfield,-,1,"1,211",592,37,8,7,0,14,"1,869"
Norton,-,1,"1,290","1,077",44,13,15,0,16,"2,455"
Norton,-,2,"1,273","1,038",30,16,16,0,9,"2,382"
Norton,-,3,"1,232",933,45,12,8,0,7,"2,237"
Norton,-,4,"1,400","1,070",49,15,15,0,16,"2,565"
Norton,-,5,723,617,25,9,9,0,5,"1,388"
Norwell,-,1,"1,357",966,36,7,20,0,26,"2,412"
Norwell,-,2,"1,479","1,039",31,7,16,0,15,"2,587"
Norwell,-,3,"1,455",915,26,4,28,0,19,"2,447"
Norwood,-,1,"1,446",728,28,9,12,0,10,"2,233"
Norwood,-,2,"1,267",592,31,12,15,0,7,"1,924"
Norwood,-,3,"1,318",627,32,12,9,0,6,"2,004"
Norwood,-,4,"1,349",728,26,9,16,0,14,"2,142"
Norwood,-,5,"1,105",407,27,5,4,0,7,"1,555"
Norwood,-,6,953,525,16,9,7,0,10,"1,520"
Norwood,-,7,"1,268",701,23,11,15,0,16,"2,034"
Norwood,-,8,"1,301",697,24,8,14,0,7,"2,051"
Norwood,-,9,"1,205",819,21,8,14,0,12,"2,079"
"Oak Bluffs",-,1,"2,420",730,32,20,7,0,16,"3,225"
Oakham,-,1,554,664,29,7,3,0,5,"1,262"
Orange,-,1,902,907,28,24,4,0,7,"1,872"
Orange,-,2,"1,082",792,41,11,9,0,9,"1,944"
Orleans,-,1,"3,288","1,458",56,15,25,0,43,"4,885"
Otis,-,1,550,441,14,6,3,0,3,"1,017"
Oxford,-,1,945,955,34,17,11,0,9,"1,971"
Oxford,-,2,876,928,31,9,8,0,4,"1,856"
Oxford,-,3,964,978,38,8,7,0,9,"2,004"
Oxford,-,4,808,904,39,10,4,0,11,"1,776"
Palmer,-,1,768,797,19,7,8,0,2,"1,601"
Palmer,-,1A,109,107,4,0,0,0,0,220
Palmer,-,2,802,923,24,6,8,0,6,"1,769"
Palmer,-,3,750,594,26,14,1,0,6,"1,391"
Palmer,-,4,679,819,29,5,4,0,6,"1,542"
Paxton,-,1,"1,625","1,268",41,12,16,0,13,"2,975"
Peabody,1,1,"1,020",672,17,7,9,0,9,"1,734"
Peabody,1,2,994,834,22,5,7,0,14,"1,876"
Peabody,1,3,"1,108",954,23,2,8,0,11,"2,106"
Peabody,2,1,893,380,9,1,9,0,3,"1,295"
Peabody,2,2,799,408,13,6,4,0,3,"1,233"
Peabody,2,3,859,611,29,10,5,0,6,"1,520"
Peabody,3,1,679,352,18,6,2,0,4,"1,061"
Peabody,3,2,799,521,11,4,4,0,16,"1,355"
Peabody,3,3,881,636,19,8,3,0,10,"1,557"
Peabody,4,1,963,654,24,7,5,0,8,"1,661"
Peabody,4,2,913,643,17,5,5,0,14,"1,597"
Peabody,4,3,516,396,4,3,2,0,6,927
Peabody,4,3A,"1,069",344,3,1,8,0,10,"1,435"
Peabody,5,1,994,867,18,6,6,0,9,"1,900"
Peabody,5,2,733,748,14,5,7,0,8,"1,515"
Peabody,5,3,948,764,21,9,6,0,10,"1,758"
Peabody,6,1,893,"1,002",20,5,9,0,5,"1,934"
Peabody,6,2,908,969,18,3,9,0,9,"1,916"
Peabody,6,3,891,949,13,3,9,0,16,"1,881"
Pelham,-,1,819,89,8,7,2,0,5,930
Pembroke,-,1,"1,329","1,135",38,16,16,0,13,"2,547"
Pembroke,-,2,"1,145","1,021",27,11,11,0,14,"2,229"
Pembroke,-,3,"1,244","1,029",42,20,17,0,16,"2,368"
Pembroke,-,4,"1,238","1,083",36,16,17,0,9,"2,399"
Pembroke,-,5,"1,218",995,24,10,15,0,13,"2,275"
Pepperell,-,1,"1,298","1,099",50,12,13,0,19,"2,491"
Pepperell,-,2,"1,361","1,083",51,15,20,0,13,"2,543"
Pepperell,-,3,"1,210","1,023",45,11,16,0,13,"2,318"
Peru,-,1,299,216,14,2,2,0,2,535
Petersham,-,1,528,321,17,4,2,0,8,880
Phillipston,-,1,465,607,20,2,0,0,9,"1,103"
Pittsfield,1,A,944,312,18,7,1,0,3,"1,285"
Pittsfield,1,B,"1,161",397,15,19,5,0,2,"1,599"
Pittsfield,2,A,706,184,12,10,2,0,6,920
Pittsfield,2,B,"1,269",377,20,7,4,0,6,"1,683"
Pittsfield,3,A,"1,412",376,18,11,11,0,2,"1,830"
Pittsfield,3,B,"1,448",420,32,10,5,0,2,"1,917"
Pittsfield,4,A,"1,411",394,25,13,4,0,9,"1,856"
Pittsfield,4,B,"1,534",557,19,11,8,0,10,"2,139"
Pittsfield,5,A,"1,198",301,22,10,7,0,8,"1,546"
Pittsfield,5,B,"1,207",454,31,12,6,0,8,"1,718"
Pittsfield,6,A,"1,261",333,19,18,5,0,8,"1,644"
Pittsfield,6,B,889,235,12,12,2,0,6,"1,156"
Pittsfield,7,A,750,274,12,14,3,0,2,"1,055"
Pittsfield,7,B,"1,214",403,35,12,2,0,12,"1,678"
Plainfield,-,1,316,116,6,4,1,0,3,446
Plainville,-,1,"1,108",827,41,5,3,0,15,"1,999"
Plainville,-,2,"1,097",803,35,18,0,0,21,"1,974"
Plainville,-,3,991,844,36,15,0,0,18,"1,904"
Plymouth,-,1,"1,162",674,28,12,10,0,9,"1,895"
Plymouth,-,2,"1,530",935,50,15,10,0,11,"2,551"
Plymouth,-,3,"1,278",692,36,7,7,0,11,"2,031"
Plymouth,-,4,"1,308",814,23,4,12,0,10,"2,171"
Plymouth,-,5,"1,323","1,059",41,16,10,0,13,"2,462"
Plymouth,-,6,"1,431",874,40,13,10,0,10,"2,378"
Plymouth,-,7,"1,312","1,008",33,8,13,0,9,"2,383"
Plymouth,-,8,"1,378","1,118",40,17,16,0,9,"2,578"
Plymouth,-,9,"1,061",962,50,6,11,0,9,"2,099"
Plymouth,-,10,888,700,14,5,6,0,8,"1,621"
Plymouth,-,11,"1,329","1,086",29,10,9,0,17,"2,480"
Plymouth,-,12,"1,562","1,185",47,14,21,0,15,"2,844"
Plymouth,-,13,"1,436","1,099",26,9,11,0,11,"2,592"
Plymouth,-,14,"1,236","1,177",44,19,16,0,24,"2,516"
Plymouth,-,15,"3,032","1,769",59,11,30,0,42,"4,943"
Plympton,-,1,962,912,31,12,1,0,16,"1,934"
Princeton,-,1,"1,530",977,45,3,20,0,16,"2,591"
Provincetown,-,1,"2,402",182,10,6,13,0,7,"2,620"
Quincy,1,1,999,466,18,11,6,0,23,"1,523"
Quincy,1,2,807,405,14,8,4,0,13,"1,251"
Quincy,1,3,"1,119",446,14,16,11,0,8,"1,614"
Quincy,1,4,"1,091",799,24,5,11,0,12,"1,942"
Quincy,1,5,"1,114",833,26,8,13,0,25,"2,019"
Quincy,2,1,"1,025",525,18,4,7,0,9,"1,588"
Quincy,2,2,"1,016",365,9,12,10,0,9,"1,421"
Quincy,2,3,484,189,11,3,1,0,6,694
Quincy,2,3A,159,83,1,0,0,0,1,244
Quincy,2,4,880,388,16,8,6,0,14,"1,312"
Quincy,2,5,"1,089",496,26,7,4,0,11,"1,633"
Quincy,3,1,"1,338",532,27,8,11,0,19,"1,935"
Quincy,3,2,"1,056",371,19,7,10,0,13,"1,476"
Quincy,3,3,756,293,7,4,2,0,15,"1,077"
Quincy,3,4,973,564,21,9,10,0,12,"1,589"
Quincy,3,5,558,119,7,1,2,0,6,693
Quincy,4,1,"1,276",515,18,8,7,0,18,"1,842"
Quincy,4,2,"1,138",613,24,4,9,0,9,"1,797"
Quincy,4,3,"1,266",773,20,9,10,0,11,"2,089"
Quincy,4,4,926,329,21,9,7,0,9,"1,301"
Quincy,4,5,"1,011",464,20,9,7,0,15,"1,526"
Quincy,5,1,"1,245",394,30,10,9,0,16,"1,704"
Quincy,5,2,995,358,15,11,4,0,17,"1,400"
Quincy,5,3,"1,168",462,22,8,8,0,8,"1,676"
Quincy,5,4,855,426,7,7,7,0,7,"1,309"
Quincy,5,5,"1,009",481,24,9,10,0,10,"1,543"
Quincy,6,1,922,430,19,7,10,0,14,"1,402"
Quincy,6,2,741,317,4,7,5,0,8,"1,082"
Quincy,6,3,"1,327",674,25,7,11,0,25,"2,069"
Quincy,6,4,896,360,12,6,10,0,12,"1,296"
Quincy,6,5,"1,207",870,19,13,12,0,21,"2,142"
Randolph,-,1,"1,137",261,7,9,8,0,5,"1,427"
Randolph,-,2,"1,026",198,6,11,3,0,14,"1,258"
Randolph,-,3,"1,193",249,4,8,4,0,10,"1,468"
Randolph,-,4,"1,214",281,8,1,7,0,10,"1,521"
Randolph,-,5,"1,064",352,11,4,5,0,13,"1,449"
Randolph,-,6,972,260,6,6,6,0,12,"1,262"
Randolph,-,7,"1,134",285,9,6,6,0,12,"1,452"
Randolph,-,8,"1,178",230,12,6,8,0,9,"1,443"
Randolph,-,9,"1,177",229,9,9,6,0,5,"1,435"
Randolph,-,10,"1,149",328,13,5,1,0,6,"1,502"
Randolph,-,11,"1,178",427,13,8,4,0,4,"1,634"
Randolph,-,12,"1,254",423,15,2,10,0,10,"1,714"
Raynham,-,1,"1,112",913,31,12,10,0,8,"2,086"
Raynham,-,1A,106,128,2,2,0,0,3,241
Raynham,-,2,837,854,25,6,8,0,12,"1,742"
Raynham,-,2A,152,194,12,1,0,0,2,361
Raynham,-,3,"1,145","1,213",26,10,9,0,8,"2,411"
Raynham,-,4,"1,020",941,34,8,0,0,15,"2,018"
Reading,-,1,"1,466",783,28,10,14,0,18,"2,319"
Reading,-,2,"1,317",635,18,29,1,0,52,"2,052"
Reading,-,3,"1,604",869,29,6,18,0,19,"2,545"
Reading,-,4,"1,432",626,29,5,7,0,15,"2,114"
Reading,-,5,"1,450",604,29,4,8,0,21,"2,116"
Reading,-,6,"1,120",557,25,5,11,0,11,"1,729"
Reading,-,7,"1,424",655,27,7,11,0,24,"2,148"
Reading,-,8,"1,321",715,31,9,13,0,17,"2,106"
Rehoboth,-,1,"1,134","1,345",41,13,12,0,7,"2,552"
Rehoboth,-,2,"1,214","1,304",29,7,12,0,7,"2,573"
Rehoboth,-,3,"1,302","1,427",48,18,11,0,13,"2,819"
Revere,1,1,856,367,7,8,6,0,9,"1,253"
Revere,1,2,716,327,7,9,4,0,9,"1,072"
Revere,1,3,733,310,4,7,4,0,6,"1,064"
Revere,2,1,697,191,7,9,0,0,0,904
Revere,2,2,921,263,18,6,3,0,3,"1,214"
Revere,2,3,301,84,4,2,0,0,1,392
Revere,2,3A,107,50,2,1,0,0,1,161
Revere,3,1,757,451,5,2,2,0,12,"1,229"
Revere,3,2,709,350,9,6,10,0,2,"1,086"
Revere,3,3,731,397,5,4,2,0,5,"1,144"
Revere,4,1,744,467,5,5,4,0,6,"1,231"
Revere,4,2,642,378,8,2,5,0,2,"1,037"
Revere,4,3,769,488,8,1,7,0,1,"1,274"
Revere,5,1,576,380,4,5,4,0,9,978
Revere,5,1A,463,244,5,3,0,0,7,722
Revere,5,2,345,227,5,5,3,0,6,591
Revere,5,2A,416,130,9,2,2,0,2,561
Revere,5,3,699,380,6,5,6,0,4,"1,100"
Revere,6,1,725,691,11,4,4,0,8,"1,443"
Revere,6,2,778,729,7,9,3,0,8,"1,534"
Revere,6,3,675,299,19,5,3,0,4,"1,005"
Richmond,-,1,828,215,8,4,2,0,7,"1,064"
Rochester,-,1,"1,762","1,991",51,15,14,0,25,"3,858"
Rockland,-,1,"1,021",779,22,9,14,0,11,"1,856"
Rockland,-,2,"1,027",787,24,10,9,0,8,"1,865"
Rockland,-,3,756,540,27,8,14,0,7,"1,352"
Rockland,-,4,841,640,24,14,4,0,8,"1,531"
Rockland,-,5,805,786,25,11,14,0,4,"1,645"
Rockland,-,6,950,787,31,8,7,0,10,"1,793"
Rockport,-,1,946,325,19,3,3,0,8,"1,304"
Rockport,-,2,"1,342",455,19,8,8,0,10,"1,842"
Rockport,-,3,"1,573",526,27,12,9,0,16,"2,163"
Rowe,-,1,152,113,2,0,0,0,2,269
Rowley,-,1,"2,180","1,942",58,21,26,0,10,"4,237"
Royalston,-,1,256,206,6,3,0,0,0,471
Royalston,-,2,152,151,12,0,1,0,0,316
Russell,-,1,366,512,28,6,7,0,10,929
Rutland,-,1,942,960,41,12,13,0,12,"1,980"
Rutland,-,2,984,949,47,6,16,0,5,"2,007"
Rutland,-,3,892,758,33,11,11,0,10,"1,715"
Salem,1,1,"1,514",418,25,20,12,0,13,"2,002"
Salem,1,2,751,125,5,3,1,0,9,894
Salem,2,1,"1,617",325,25,19,5,0,9,"2,000"
Salem,2,2,"1,784",287,33,15,15,0,6,"2,140"
Salem,3,1,"1,152",362,20,9,11,0,16,"1,570"
Salem,3,2,"1,084",488,10,6,13,0,7,"1,608"
Salem,4,1,"1,232",506,23,11,9,0,6,"1,787"
Salem,4,2,"1,174",651,19,11,5,0,10,"1,870"
Salem,5,1,"1,436",382,22,13,7,0,5,"1,865"
Salem,5,2,"1,259",294,18,12,13,0,5,"1,601"
Salem,6,1,"1,405",426,33,10,11,0,9,"1,894"
Salem,6,2,"1,350",383,22,15,4,0,12,"1,786"
Salem,7,1,"1,026",309,15,8,5,0,9,"1,372"
Salem,7,2,"1,239",477,16,5,8,0,5,"1,750"
Salisbury,-,1,"1,125",841,25,3,5,0,17,"2,016"
Salisbury,-,2,961,892,23,7,5,0,9,"1,897"
Salisbury,-,3,759,864,36,8,2,0,14,"1,683"
Sandisfield,-,1,306,200,5,2,2,0,8,523
Sandwich,-,1,"1,531","1,013",41,13,9,0,28,"2,635"
Sandwich,-,2,"1,443",980,23,8,2,0,21,"2,477"
Sandwich,-,3,"1,231",966,30,14,5,0,14,"2,260"
Sandwich,-,4,"1,279","1,048",35,11,6,0,15,"2,394"
Sandwich,-,5,"1,166",982,33,7,5,0,17,"2,210"
Sandwich,-,6,"1,089","1,055",27,4,5,0,24,"2,204"
Saugus,-,1,804,673,15,5,3,0,12,"1,512"
Saugus,-,2,796,642,14,7,11,0,8,"1,478"
Saugus,-,3,799,680,15,7,5,0,7,"1,513"
Saugus,-,4,685,655,11,2,2,0,15,"1,370"
Saugus,-,5,857,956,16,6,8,0,14,"1,857"
Saugus,-,6,824,688,26,8,11,0,7,"1,564"
Saugus,-,7,819,955,15,2,3,0,14,"1,808"
Saugus,-,8,787,715,7,4,2,0,17,"1,532"
Saugus,-,9,870,923,16,6,4,0,4,"1,823"
Saugus,-,10,760,656,15,3,4,0,7,"1,445"
Savoy,-,1,226,161,7,4,1,0,28,427
Scituate,-,1,"1,427",852,31,12,17,0,27,"2,366"
Scituate,-,2,"1,407",775,34,7,12,0,20,"2,255"
Scituate,-,3,"1,523",697,34,5,11,0,21,"2,291"
Scituate,-,4,"1,409",825,34,7,9,0,22,"2,306"
Scituate,-,5,"1,441",687,26,11,7,0,22,"2,194"
Scituate,-,6,"1,401",778,26,12,13,0,23,"2,253"
Seekonk,-,1,"1,076",986,27,10,8,0,10,"2,117"
Seekonk,-,2,"1,340",984,28,13,13,0,13,"2,391"
Seekonk,-,3,"1,204","1,014",31,4,10,0,11,"2,274"
Seekonk,-,4,"1,166",986,35,7,13,0,14,"2,221"
Sharon,-,1,"1,812",560,43,11,12,0,15,"2,453"
Sharon,-,2,"1,667",529,23,6,15,0,11,"2,251"
Sharon,-,3,"1,829",502,25,12,10,0,14,"2,392"
Sharon,-,4,"1,873",463,36,9,8,0,18,"2,407"
Sharon,-,5,"1,597",549,12,11,3,0,20,"2,192"
Sheffield,-,1,"1,542",578,21,15,6,0,12,"2,174"
Shelburne,-,1,927,209,24,8,6,0,68,"1,242"
Sherborn,-,1,"2,267",579,72,15,30,0,28,"2,991"
Shirley,-,1,"2,100","1,493",67,22,18,0,17,"3,717"
Shrewsbury,-,1,"1,528",902,25,7,11,0,16,"2,489"
Shrewsbury,-,2,"1,348",732,34,12,8,0,16,"2,150"
Shrewsbury,-,3,"1,021",640,16,14,9,0,21,"1,721"
Shrewsbury,-,4,"1,315",783,27,12,3,0,21,"2,161"
Shrewsbury,-,5,"1,243",505,25,17,4,0,18,"1,812"
Shrewsbury,-,6,"1,413",711,38,9,5,0,17,"2,193"
Shrewsbury,-,7,"1,660",873,36,20,17,0,25,"2,631"
Shrewsbury,-,8,"1,617",797,27,8,18,0,22,"2,489"
Shrewsbury,-,9,"1,044",449,17,3,10,0,14,"1,537"
Shrewsbury,-,10,"1,401",666,35,5,11,0,19,"2,137"
Shutesbury,-,1,"1,154",144,13,13,6,0,9,"1,339"
Somerset,-,1,"1,225","1,083",31,5,7,0,15,"2,366"
Somerset,-,2,"1,228","1,045",21,9,3,0,23,"2,329"
Somerset,-,3,"1,264","1,028",29,14,1,0,18,"2,354"
Somerset,-,4,"1,085",937,21,10,2,0,11,"2,066"
Somerset,-,5,"1,013","1,020",33,7,1,0,23,"2,097"
Somerville,1,1,"1,093",237,17,12,5,0,11,"1,375"
Somerville,1,2,"1,854",358,18,13,8,0,13,"2,264"
Somerville,1,3,"1,203",223,6,10,5,0,7,"1,454"
Somerville,2,1,"1,766",140,18,18,13,0,5,"1,960"
Somerville,2,2,"2,072",163,17,19,16,0,9,"2,296"
Somerville,2,3,"2,042",193,17,18,10,0,2,"2,282"
Somerville,3,1,"1,755",183,17,18,12,0,8,"1,993"
Somerville,3,2,"1,785",195,21,16,12,0,8,"2,037"
Somerville,3,3,"2,099",184,19,22,15,0,11,"2,350"
Somerville,4,1,"1,124",265,6,11,6,0,6,"1,418"
Somerville,4,2,"1,435",214,13,15,9,0,12,"1,698"
Somerville,4,3,"1,698",246,13,9,12,0,5,"1,983"
Somerville,5,1,"1,876",275,14,22,15,0,9,"2,211"
Somerville,5,2,"2,213",192,19,19,12,0,7,"2,462"
Somerville,5,3,"2,086",191,22,21,10,0,8,"2,338"
Somerville,6,1,"2,350",156,21,15,13,0,10,"2,565"
Somerville,6,2,"2,136",140,21,22,6,0,11,"2,336"
Somerville,6,3,"1,094",107,5,8,6,0,3,"1,223"
Somerville,7,1,"2,042",172,19,17,14,0,8,"2,272"
Somerville,7,2,"1,691",176,17,13,2,0,15,"1,914"
Somerville,7,3,"1,613",273,26,14,11,0,11,"1,948"
"S. Hadley",-,A,"1,364",657,34,17,6,0,7,"2,085"
"S. Hadley",-,B,"1,470",678,31,14,6,0,16,"2,215"
"S. Hadley",-,C,"1,359",816,29,14,9,0,6,"2,233"
"S. Hadley",-,D,951,317,20,8,6,0,5,"1,307"
"S. Hadley",-,E,"1,446",762,30,6,9,0,9,"2,262"
Southampton,-,1,"2,231","1,811",76,20,56,0,27,"4,221"
Southborough,-,1,"1,617",600,38,6,9,0,24,"2,294"
Southborough,-,2,"1,454",614,44,10,22,0,11,"2,155"
Southborough,-,3,"1,547",637,31,11,25,0,17,"2,268"
Southbridge,-,1,849,559,22,6,8,0,8,"1,452"
Southbridge,-,2,714,527,14,8,5,0,12,"1,280"
Southbridge,-,3,755,683,15,18,5,0,7,"1,483"
Southbridge,-,4,"1,024",815,21,13,6,0,12,"1,891"
Southbridge,-,5,737,438,7,6,6,0,9,"1,203"
Southwick,-,1,811,"1,265",35,13,5,0,17,"2,146"
Southwick,-,2,713,939,41,9,11,0,8,"1,721"
Southwick,-,3,836,"1,017",23,8,6,0,11,"1,901"
Spencer,-,1,697,812,23,4,0,0,12,"1,548"
Spencer,-,2,735,752,24,11,0,0,15,"1,537"
Spencer,-,3,679,913,27,11,0,0,15,"1,645"
Spencer,-,4,878,810,26,10,0,0,13,"1,737"
Springfield,1,A,371,148,3,0,1,0,17,540
Springfield,1,B,542,145,6,3,2,0,32,730
Springfield,1,C,368,115,7,3,2,0,23,518
Springfield,1,D,483,115,6,1,2,0,12,619
Springfield,1,E,533,172,8,2,1,0,9,725
Springfield,1,F,463,115,3,3,1,0,44,629
Springfield,1,G,542,120,7,7,3,0,14,693
Springfield,1,H,557,115,6,4,1,0,17,700
Springfield,2,A,526,150,3,1,2,0,25,707
Springfield,2,B,718,269,9,0,3,0,56,"1,055"
Springfield,2,C,518,190,10,2,5,0,39,764
Springfield,2,D,712,271,14,7,4,0,16,"1,024"
Springfield,2,E,642,303,13,3,3,0,52,"1,016"
Springfield,2,F,796,279,3,11,2,0,25,"1,116"
Springfield,2,G,792,368,11,9,11,0,22,"1,213"
Springfield,2,H,691,283,6,5,5,0,49,"1,039"
Springfield,3,A,433,93,3,3,1,0,22,555
Springfield,3,B,401,94,7,3,2,0,18,525
Springfield,3,C,325,89,5,2,1,0,9,431
Springfield,3,D,460,106,4,4,5,0,33,612
Springfield,3,E,366,101,3,2,5,0,17,494
Springfield,3,F,405,124,7,3,1,0,36,576
Springfield,3,G,356,101,7,4,1,0,16,485
Springfield,3,H,476,154,0,5,3,0,34,672
Springfield,4,A,718,88,6,3,4,0,15,834
Springfield,4,B,673,115,2,3,3,0,10,806
Springfield,4,C,504,75,3,5,2,0,14,603
Springfield,4,D,582,69,5,8,0,0,10,674
Springfield,4,E,525,60,1,4,3,0,31,624
Springfield,4,F,196,25,2,1,0,0,5,229
Springfield,4,G,646,99,7,2,1,0,23,778
Springfield,4,H,616,55,5,0,1,0,23,700
Springfield,5,A,640,98,8,2,2,0,15,765
Springfield,5,B,804,210,5,3,4,0,20,"1,046"
Springfield,5,C,615,233,7,6,6,0,40,907
Springfield,5,D,794,446,15,6,4,0,30,"1,295"
Springfield,5,E,972,225,8,1,10,0,32,"1,248"
Springfield,5,F,845,256,12,6,5,0,29,"1,153"
Springfield,5,G,864,504,13,5,9,0,19,"1,414"
Springfield,5,H,600,317,7,6,4,0,24,958
Springfield,6,A,550,145,5,5,4,0,10,719
Springfield,6,B,792,263,11,3,9,0,26,"1,104"
Springfield,6,C,638,249,51,8,6,0,19,971
Springfield,6,D,783,459,11,9,5,0,31,"1,298"
Springfield,6,E,511,178,5,3,2,0,36,735
Springfield,6,F,601,169,7,5,3,0,17,802
Springfield,6,G,669,236,7,4,2,0,22,940
Springfield,6,H,711,338,8,6,6,0,10,"1,079"
Springfield,7,A,772,367,11,2,3,0,25,"1,180"
Springfield,7,B,876,459,16,6,14,0,58,"1,429"
Springfield,7,C,866,435,10,4,5,0,50,"1,370"
Springfield,7,D,740,455,19,9,5,0,13,"1,241"
Springfield,7,E,618,207,10,4,2,0,21,862
Springfield,7,F,831,432,17,7,5,0,44,"1,336"
Springfield,7,G,820,551,13,11,11,0,41,"1,447"
Springfield,7,H,396,176,12,4,5,0,20,613
Springfield,8,A,669,332,10,5,0,0,26,"1,042"
Springfield,8,B,741,256,9,9,4,0,28,"1,047"
Springfield,8,C,711,193,11,3,0,0,39,957
Springfield,8,D,412,151,10,5,0,0,16,594
Springfield,8,E,490,192,6,6,4,0,12,710
Springfield,8,F,691,310,8,6,2,0,22,"1,039"
Springfield,8,G,692,300,16,0,7,0,19,"1,034"
Springfield,8,H,711,209,6,6,2,0,26,960
Sterling,-,1,"1,378","1,174",53,8,15,0,17,"2,645"
Sterling,-,2,"1,463","1,270",47,22,21,0,22,"2,845"
Stockbridge,-,1,"1,099",237,12,11,4,0,7,"1,370"
Stoneham,-,1,"1,225",687,19,5,5,0,10,"1,951"
Stoneham,-,2,"1,418",783,25,4,11,0,23,"2,264"
Stoneham,-,3,"1,328",876,19,19,8,0,20,"2,270"
Stoneham,-,4,"1,077",726,21,8,5,0,10,"1,847"
Stoneham,-,5,"1,157",863,18,6,10,0,20,"2,074"
Stoneham,-,6,"1,295",726,25,10,16,0,12,"2,084"
Stoneham,-,7,"1,176",711,24,7,9,0,19,"1,946"
Stoughton,-,1,"1,444",662,15,5,2,0,21,"2,149"
Stoughton,-,2,"1,263",601,17,9,1,0,16,"1,907"
Stoughton,-,3,"1,326",640,25,8,7,0,17,"2,023"
Stoughton,-,4,"1,386",843,33,9,3,0,20,"2,294"
